LECROYWP804HD,2603,Waveform
Segments,1,SegmentSize,8652
Segment,TrigTime,TimeSinceSegment1
#1,02-Oct-2023 05:41:26,0                 
Time,Ampl
5.167206e+07,-71.8619
5.171021e+07,-71.7229
5.174835e+07,-71.9088
5.17865e+07,-72.2547
5.182465e+07,-72.0367
5.186279e+07,-71.9874
5.190094e+07,-72.021
5.193909e+07,-72.3051
5.197723e+07,-71.9105
5.201538e+07,-71.93
5.205353e+07,-72.035
5.209167e+07,-71.5635
5.212982e+07,-71.7182
5.216797e+07,-71.4192
5.220612e+07,-71.4386
5.224426e+07,-71.8781
5.228241e+07,-71.5811
5.232056e+07,-71.4301
5.23587e+07,-70.9136
5.239685e+07,-71.3555
5.2435e+07,-71.1436
5.247314e+07,-70.9076
5.251129e+07,-71.3926
5.254944e+07,-71.0435
5.258759e+07,-70.8164
5.262573e+07,-70.6941
5.266388e+07,-70.7499
5.270203e+07,-71.0268
5.274017e+07,-71.2066
5.277832e+07,-70.8472
5.281647e+07,-70.5167
5.285461e+07,-70.9062
5.289276e+07,-71.4441
5.293091e+07,-71.151
5.296906e+07,-71.5577
5.30072e+07,-71.0935
5.304535e+07,-70.4872
5.30835e+07,-71.1576
5.312164e+07,-70.7771
5.315979e+07,-70.6616
5.319794e+07,-70.8656
5.323608e+07,-70.8797
5.327423e+07,-70.645
5.331238e+07,-70.7594
5.335052e+07,-70.2684
5.338867e+07,-70.0491
5.342682e+07,-69.9501
5.346497e+07,-70.0066
5.350311e+07,-69.8723
5.354126e+07,-70.3096
5.357941e+07,-70.5444
5.361755e+07,-70.291
5.36557e+07,-70.5622
5.369385e+07,-70.299
5.373199e+07,-70.2079
5.377014e+07,-70.1693
5.380829e+07,-70.7313
5.384644e+07,-70.9112
5.388458e+07,-71.2223
5.392273e+07,-70.5152
5.396088e+07,-70.15
5.399902e+07,-70.5735
5.403717e+07,-70.7054
5.407532e+07,-70.3019
5.411346e+07,-69.8673
5.415161e+07,-70.187
5.418976e+07,-70.0876
5.422791e+07,-70.42
5.426605e+07,-70.1415
5.43042e+07,-70.0534
5.434235e+07,-70.4972
5.438049e+07,-70.4178
5.441864e+07,-70.6237
5.445679e+07,-70.5425
5.449493e+07,-70.7291
5.453308e+07,-70.4404
5.457123e+07,-70.1178
5.460938e+07,-70.0394
5.464752e+07,-70.2292
5.468567e+07,-70.1591
5.472382e+07,-70.141
5.476196e+07,-70.3513
5.480011e+07,-70.3538
5.483826e+07,-70.4417
